Company,# of posting,Skill
FORTIFIED INFOTECH (OPC) PRIVATE LIMITED,1,"PeopleSoft, sap hcm, Oracle HRMS"
FactSet Systems India Pvt Ltd,2,"Web technologies, Networking, Analytical, Client support...#####Web technologies, Networking, Analytical, Client support, Management..."
Family Health Plan (TPA) Ltd,2,"jQuery, LINQ, Web technologies, Winforms, WCF, WPF, ASP.Net MVC...#####jQuery, LINQ, Web technologies, Winforms, WCF, WPF, ASP.Net MVC..."
Finite HR Consulting Private Limited,4,"Technical product configuration, c++, C, design, MySQL, JavaScript...#####Technical product configuration, c++, C, design, MySQL, JavaScript...#####Technical product configuration, c++, C, design, MySQL, JavaScript...#####Technical product configuration, c++, C, design, MySQL, JavaScript..."
Franklin Templeton International,8,"Microstrategy, Business objects, SAS, Data modeling, HTTP...#####Team management, Performance management, Mutual funds, Analytical, Hyperion...#####Relationship management, Front office, Manager Internal Audit...#####Staffing, Project management, Analytical, Process improvement, Consulting...#####Microstrategy, Business objects, SAS, XML, Application development, HTTP...#####Tomcat, Linux, Production support, XML, Project management...#####Automation, System design, Application development, HTTP, System Analyst...#####Relationship management, IT services, Automation, Windows, microsoft..."
Future Now Consulting,1,Implement and develop scalable solutions....
Futurepoint Technologies,1,"JCL, Tomcat, XML, JSP, Cobol, PHP, JDBC, HTML, Ajax, Android"
GD Research Center Pvt Ltd,2,"Object oriented design, T-SQL, server, bca, development, code, technical...#####Object oriented design, T-SQL, server, bca, development, code, technical..."
GJS Infratech Pvt.Ltd,1,"Computer science, Windows administration, CSS, Javascript, HTML..."
GeekTek,1,"IT services, Time management, Legal, Corporate, Legal research, Research..."
Gladwin Analytics,1,"Business process, Computer science, Linux, MySQL, Application development..."
Global Enterprise Tech Resources Private Limited,1,"Aa, Cca, fico, MM, SAP, Costing, Accounting, GL, Ams, Sap Hana..."
GlobalData,1,"c#, asp.net mvc, information technology, web technologies, asp.net, .net..."
Gowra Bits & Bytes,2,"Computer science, Promotion planning, Action plan, Relationship building...#####Computer science, Target, Tracking, Relationship building, Instrumentation,..."
Great Sports Infra,4,"Usage, Costing, Claims, Project management, Reconciliation, Troubleshooting...#####Civil, Costing, Claims, AutoCAD, Project management, Reconciliation...#####Civil construction, Costing, Claims, Project management, Reconciliation...#####vendor management, development, project management, boq, claims..."
HR Devi and Associates,1,"assembly language, Six Sigma, PMP, C, JavaScript..."
HRHONCHOS CONSULTING SOLUTIONS PRIVATE LIMITED,1,"information technology hardware sales, enterprise sales, it hardware sales,..."
